actorId,actorName
1228,Tomas von Brömssen
1229,Michael J. Nelson
1230,Eddie Griffin
1231,Joseph Gordon-Levitt
1232,Martin Umbach
1233,Sterling Hayden
1234,Lisa Boyle
1235,June Kyoto Lu
1236,Christopher Walken
1237,Behzad Khodaveisi
1238,Ice-T
1239,Patrick McGoohan
1240,Ian Hart
1241,Jamie Lee Curtis
1242,Lou Reed
1243,John Goodman
1244,Brandon Lee
1245,Sean Young
1246,Natasha Henstridge
1247,Clarence Williams III
1248,Saskia Reeves
1249,Antonio Neiwiller
1250,Rob Morrow
1251,Yi Ding
1252,Vusi Kunene
1253,John Lone
1254,Georges Marchal
1255,Jason Priestley
1256,Thierry Lhermitte
1257,Jeff Daniels
1258,Vanessa Williams
1259,Bruce Dern
1260,Roy Dupuis
1261,Mare Winningham
1262,Patsy Kensit
1263,Gladys George
1264,Vincent Kartheiser
1265,Emma Gates
1266,Basia Frydman
1267,Stephen Chang
1268,Danny DeVito
1269,Marlon Brando
1270,Sheryl Lee
1271,Barbara Bates
1272,Armand Assante
1273,Eric Thal
1274,Charles Laughton
1275,Shaquille O'Neal
1276,Kyle MacLachlan
1277,Viktor Mikhailov
1278,Ludwig Briand
1279,Alex Del Rosario
